Product,Name,Rating,CommentHead,Comment
iphone 13 pro,Bitopon Deka,5,Classy product,display is not scratch proof so make sure to order screenguard with it . Else best phone till date ✅
iphone 13 pro,Rukhsar Sheikh,5,Perfect product!,"Great phone, mindblowing. Performance wise to hatssoff. Looks are stunning, camera awesome.Sierra blue is very light shade.  Silver and this not much difference.I got it on 25th sept Very fast delivery!! Battery is quite good stays one full day with moderate use."
iphone 13 pro,RAHUL  SHARMA,5,Worth every penny,Good Product 👍
iphone 13 pro,sagar,5,Best in the market!,It's my first iPhone 😍
iphone 13 pro,Jaat Ram,5,Simply awesome,Best handy productBattery backup gud like andriod 4500mah batteryPerformance beastCamera like dslr
iphone 13 pro,Prokash Jaiswal,5,Fabulous!,super fast and Sierra Blue ❤️🔥🔥
iphone 13 pro,Nihal  Singh ,5,Highly recommended,Nice
iphone 13 pro,Akash Karmakar,5,Mind-blowing purchase,"Finally the best purchase of this season. Awesome colour, great performance and stunning looks. Camera module is massive and performance as well."
iphone 13 pro,Goutam Rajpurohit,5,Must buy!,Everything is amazing
iphone 13 pro,Flipkart Customer,5,Excellent,"In love with the phone. The night pictures and videos  that come out of the phone are too good. Upgraded from 12 mini. Not a huge difference in camera but night pictures are definitely an upgrade. The battery life is exceptional. Often use it as hotspot for around  6 hrs and after more than 10 hours, battery is more than 60% if other apps are not heavily used. 120hz feels super smooth. Cons: Price is still very high"
